Observation Date,Household Savings (% of Household Disposable Income)
1990-01,8.06143039
1990-02,8.06143039
1990-03,8.06143039
1990-04,8.06143039
1990-05,8.06143039
1990-06,8.06143039
1990-07,8.06143039
1990-08,8.06143039
1990-09,8.06143039
1990-10,8.06143039
1990-11,8.06143039
1990-12,8.06143039
1991-01,8.457908654
1991-02,8.457908654
1991-03,8.457908654
1991-04,8.457908654
1991-05,8.457908654
1991-06,8.457908654
1991-07,8.457908654
1991-08,8.457908654
1991-09,8.457908654
1991-10,8.457908654
1991-11,8.457908654
1991-12,8.457908654
1992-01,9.178271171
1992-02,9.178271171
1992-03,9.178271171
1992-04,9.178271171
1992-05,9.178271171
1992-06,9.178271171
1992-07,9.178271171
1992-08,9.178271171
1992-09,9.178271171
1992-10,9.178271171
1992-11,9.178271171
1992-12,9.178271171
1993-01,7.59784769
1993-02,7.59784769
1993-03,7.59784769
1993-04,7.59784769
1993-05,7.59784769
1993-06,7.59784769
1993-07,7.59784769
1993-08,7.59784769
1993-09,7.59784769
1993-10,7.59784769
1993-11,7.59784769
1993-12,7.59784769
1994-01,6.53364683
1994-02,6.53364683
1994-03,6.53364683
1994-04,6.53364683
1994-05,6.53364683
1994-06,6.53364683
1994-07,6.53364683
1994-08,6.53364683
1994-09,6.53364683
1994-10,6.53364683
1994-11,6.53364683
1994-12,6.53364683
1995-01,6.612567715
1995-02,6.612567715
1995-03,6.612567715
1995-04,6.612567715
1995-05,6.612567715
1995-06,6.612567715
1995-07,6.612567715
1995-08,6.612567715
1995-09,6.612567715
1995-10,6.612567715
1995-11,6.612567715
1995-12,6.612567715
1996-01,6.149863589
1996-02,6.149863589
1996-03,6.149863589
1996-04,6.149863589
1996-05,6.149863589
1996-06,6.149863589
1996-07,6.149863589
1996-08,6.149863589
1996-09,6.149863589
1996-10,6.149863589
1996-11,6.149863589
1996-12,6.149863589
1997-01,5.956266202
1997-02,5.956266202
1997-03,5.956266202
1997-04,5.956266202
1997-05,5.956266202
1997-06,5.956266202
1997-07,5.956266202
1997-08,5.956266202
1997-09,5.956266202
1997-10,5.956266202
1997-11,5.956266202
1997-12,5.956266202
1998-01,6.424895824
1998-02,6.424895824
1998-03,6.424895824
1998-04,6.424895824
1998-05,6.424895824
1998-06,6.424895824
1998-07,6.424895824
1998-08,6.424895824
1998-09,6.424895824
1998-10,6.424895824
1998-11,6.424895824
1998-12,6.424895824
1999-01,4.588121658
1999-02,4.588121658
1999-03,4.588121658
1999-04,4.588121658
1999-05,4.588121658
1999-06,4.588121658
1999-07,4.588121658
1999-08,4.588121658
1999-09,4.588121658
1999-10,4.588121658
1999-11,4.588121658
1999-12,4.588121658
2000-01,4.333271565
2000-02,4.333271565
2000-03,4.333271565
2000-04,4.333271565
2000-05,4.333271565
2000-06,4.333271565
2000-07,4.333271565
2000-08,4.333271565
2000-09,4.333271565
2000-10,4.333271565
2000-11,4.333271565
2000-12,4.333271565
2001-01,4.506100926
2001-02,4.506100926
2001-03,4.506100926
2001-04,4.506100926
2001-05,4.506100926
2001-06,4.506100926
2001-07,4.506100926
2001-08,4.506100926
2001-09,4.506100926
2001-10,4.506100926
2001-11,4.506100926
2001-12,4.506100926
2002-01,5.202805425
2002-02,5.202805425
2002-03,5.202805425
2002-04,5.202805425
2002-05,5.202805425
2002-06,5.202805425
2002-07,5.202805425
2002-08,5.202805425
2002-09,5.202805425
2002-10,5.202805425
2002-11,5.202805425
2002-12,5.202805425
2003-01,5.009972571
2003-02,5.009972571
2003-03,5.009972571
2003-04,5.009972571
2003-05,5.009972571
2003-06,5.009972571
2003-07,5.009972571
2003-08,5.009972571
2003-09,5.009972571
2003-10,5.009972571
2003-11,5.009972571
2003-12,5.009972571
2004-01,4.722663009
2004-02,4.722663009
2004-03,4.722663009
2004-04,4.722663009
2004-05,4.722663009
2004-06,4.722663009
2004-07,4.722663009
2004-08,4.722663009
2004-09,4.722663009
2004-10,4.722663009
2004-11,4.722663009
2004-12,4.722663009
2005-01,2.690133051
2005-02,2.690133051
2005-03,2.690133051
2005-04,2.690133051
2005-05,2.690133051
2005-06,2.690133051
2005-07,2.690133051
2005-08,2.690133051
2005-09,2.690133051
2005-10,2.690133051
2005-11,2.690133051
2005-12,2.690133051
2006-01,3.439413551
2006-02,3.439413551
2006-03,3.439413551
2006-04,3.439413551
2006-05,3.439413551
2006-06,3.439413551
2006-07,3.439413551
2006-08,3.439413551
2006-09,3.439413551
2006-10,3.439413551
2006-11,3.439413551
2006-12,3.439413551
2007-01,3.079475291
2007-02,3.079475291
2007-03,3.079475291
2007-04,3.079475291
2007-05,3.079475291
2007-06,3.079475291
2007-07,3.079475291
2007-08,3.079475291
2007-09,3.079475291
2007-10,3.079475291
2007-11,3.079475291
2007-12,3.079475291
2008-01,5.087167216
2008-02,5.087167216
2008-03,5.087167216
2008-04,5.087167216
2008-05,5.087167216
2008-06,5.087167216
2008-07,5.087167216
2008-08,5.087167216
2008-09,5.087167216
2008-10,5.087167216
2008-11,5.087167216
2008-12,5.087167216
2009-01,6.347646107
2009-02,6.347646107
2009-03,6.347646107
2009-04,6.347646107
2009-05,6.347646107
2009-06,6.347646107
2009-07,6.347646107
2009-08,6.347646107
2009-09,6.347646107
2009-10,6.347646107
2009-11,6.347646107
2009-12,6.347646107
2010-01,5.816122269
2010-02,5.816122269
2010-03,5.816122269
2010-04,5.816122269
2010-05,5.816122269
2010-06,5.816122269
2010-07,5.816122269
2010-08,5.816122269
2010-09,5.816122269
2010-10,5.816122269
2010-11,5.816122269
2010-12,5.816122269
2011-01,6.229563407
2011-02,6.229563407
2011-03,6.229563407
2011-04,6.229563407
2011-05,6.229563407
2011-06,6.229563407
2011-07,6.229563407
2011-08,6.229563407
2011-09,6.229563407
2011-10,6.229563407
2011-11,6.229563407
2011-12,6.229563407
2012-01,7.89090365
2012-02,7.89090365
2012-03,7.89090365
2012-04,7.89090365
2012-05,7.89090365
2012-06,7.89090365
2012-07,7.89090365
2012-08,7.89090365
2012-09,7.89090365
2012-10,7.89090365
2012-11,7.89090365
2012-12,7.89090365
2013-01,5.175682539
2013-02,5.175682539
2013-03,5.175682539
2013-04,5.175682539
2013-05,5.175682539
2013-06,5.175682539
2013-07,5.175682539
2013-08,5.175682539
2013-09,5.175682539
2013-10,5.175682539
2013-11,5.175682539
2013-12,5.175682539
2014-01,5.862440265
2014-02,5.862440265
2014-03,5.862440265
2014-04,5.862440265
2014-05,5.862440265
2014-06,5.862440265
2014-07,5.862440265
2014-08,5.862440265
2014-09,5.862440265
2014-10,5.862440265
2014-11,5.862440265
2014-12,5.862440265
