Observation Date,US Import Price Indexes for Selected Categories of Goods (Monthly)
1990-01,92.5
1990-02,92.7
1990-03,92.4
1990-04,91.6
1990-05,91.2
1990-06,90.8
1990-07,90.5
1990-08,93.3
1990-09,96.5
1990-10,99.3
1990-11,98.7
1990-12,98.4
1991-01,97.0
1991-02,95.0
1991-03,95.0
1991-04,94.2
1991-05,94.0
1991-06,93.4
1991-07,92.8
1991-08,93.1
1991-09,93.3
1991-10,94.1
1991-11,94.5
1991-12,94.3
1992-01,94.0
1992-02,94.0
1992-03,93.9
1992-04,93.6
1992-05,94.0
1992-06,94.8
1992-07,95.3
1992-08,95.7
1992-09,95.9
1992-10,96.6
1992-11,96.0
1992-12,94.4
1993-01,94.3
1993-02,94.2
1993-03,94.7
1993-04,95.2
1993-05,95.5
1993-06,95.0
1993-07,94.5
1993-08,94.4
1993-09,94.5
1993-10,94.9
1993-11,94.4
1993-12,93.5
1994-01,93.5
1994-02,93.9
1994-03,94.0
1994-04,94.7
1994-05,95.5
1994-06,96.3
1994-07,97.2
1994-08,97.6
1994-09,97.2
1994-10,97.9
1994-11,98.5
1994-12,98.4
1995-01,98.7
1995-02,99.4
1995-03,99.9
1995-04,100.9
1995-05,101.8
1995-06,101.4
1995-07,101.1
1995-08,100.8
1995-09,100.8
1995-10,100.4
1995-11,100.6
1995-12,101.0
1996-01,101.2
1996-02,101.0
1996-03,101.6
1996-04,102.5
1996-05,101.8
1996-06,100.7
1996-07,100.6
1996-08,100.7
1996-09,101.8
1996-10,102.4
1996-11,102.2
1996-12,102.5
1997-01,102.2
1997-02,101.2
1997-03,100.0
1997-04,98.8
1997-05,98.8
1997-06,98.8
1997-07,98.5
1997-08,98.4
1997-09,98.4
1997-10,98.6
1997-11,98.1
1997-12,97.2
1998-01,95.9
1998-02,95.0
1998-03,94.1
1998-04,93.9
1998-05,93.7
1998-06,93.1
1998-07,92.3
1998-08,92.0
1998-09,92.2
1998-10,92.3
1998-11,91.8
1998-12,91.0
1999-01,91.3
1999-02,91.2
1999-03,91.5
1999-04,92.4
1999-05,93.1
1999-06,92.9
1999-07,93.8
1999-08,94.8
1999-09,95.8
1999-10,96.0
1999-11,96.7
1999-12,97.4
2000-01,97.8
2000-02,99.7
2000-03,99.9
2000-04,98.5
2000-05,98.8
2000-06,100.2
2000-07,100.2
2000-08,100.4
2000-09,101.6
2000-10,101.2
2000-11,101.2
2000-12,100.5
2001-01,100.5
2001-02,99.9
2001-03,98.3
2001-04,97.8
2001-05,98.0
2001-06,97.6
2001-07,96.1
2001-08,96.0
2001-09,95.9
2001-10,93.7
2001-11,92.3
2001-12,91.4
2002-01,91.6
2002-02,91.6
2002-03,92.8
2002-04,94.3
2002-05,94.4
2002-06,94.1
2002-07,94.5
2002-08,94.8
2002-09,95.5
2002-10,95.5
2002-11,94.6
2002-12,95.2
2003-01,96.9
2003-02,98.5
2003-03,99.1
2003-04,96.0
2003-05,95.3
2003-06,96.2
2003-07,96.7
2003-08,96.7
2003-09,96.2
2003-10,96.3
2003-11,96.8
2003-12,97.5
2004-01,99.0
2004-02,99.4
2004-03,100.2
2004-04,100.4
2004-05,101.9
2004-06,101.7
2004-07,102.1
2004-08,103.6
2004-09,104.1
2004-10,105.8
2004-11,105.5
2004-12,104.0
2005-01,104.6
2005-02,105.5
2005-03,107.8
2005-04,108.8
2005-05,107.9
2005-06,109.2
2005-07,110.5
2005-08,112.1
2005-09,114.4
2005-10,114.5
2005-11,112.3
2005-12,112.3
2006-01,113.7
2006-02,112.8
2006-03,112.7
2006-04,115.1
2006-05,117.2
2006-06,117.3
2006-07,118.2
2006-08,118.8
2006-09,116.2
2006-10,113.3
2006-11,113.8
2006-12,115.1
2007-01,113.7
2007-02,114.1
2007-03,115.9
2007-04,117.5
2007-05,118.6
2007-06,120.0
2007-07,121.5
2007-08,121.1
2007-09,121.8
2007-10,123.6
2007-11,127.5
2007-12,127.3
2008-01,129.2
2008-02,129.5
2008-03,133.5
2008-04,137.3
2008-05,141.2
2008-06,145.5
2008-07,147.5
2008-08,143.0
2008-09,137.8
2008-10,129.6
2008-11,120.0
2008-12,114.5
2009-01,113.0
2009-02,113.0
2009-03,113.6
2009-04,114.8
2009-05,116.8
2009-06,120.0
2009-07,119.3
2009-08,121.1
2009-09,121.3
2009-10,122.3
2009-11,124.1
2009-12,124.4
2010-01,125.9
2010-02,125.8
2010-03,126.3
2010-04,127.7
2010-05,126.7
2010-06,125.2
2010-07,125.2
2010-08,125.7
2010-09,125.7
2010-10,127.1
2010-11,129.2
2010-12,131.0
2011-01,133.0
2011-02,135.3
2011-03,139.3
2011-04,142.9
2011-05,143.1
2011-06,142.2
2011-07,142.4
2011-08,141.9
2011-09,141.7
2011-10,141.2
2011-11,142.2
2011-12,142.2
2012-01,142.2
2012-02,142.2
2012-03,144.2
2012-04,144.1
2012-05,142.0
2012-06,138.7
2012-07,137.7
2012-08,139.4
2012-09,140.8
2012-10,141.2
2012-11,140.2
2012-12,139.4
2013-01,140.1
2013-02,141.3
2013-03,141.2
2013-04,140.2
2013-05,139.4
2013-06,138.8
2013-07,138.9
2013-08,139.4
2013-09,139.8
2013-10,138.9
2013-11,137.7
2013-12,137.8
2014-01,138.3
2014-02,139.8
2014-03,140.5
2014-04,139.7
2014-05,140.1
2014-06,140.5
2014-07,140.1
2014-08,139.0
2014-09,137.9
2014-10,136.0
2014-11,133.5
2014-12,130.1
