date, value
1/1/90,0
2/1/90,0
3/1/90,0
4/1/90,0
5/1/90,0
6/1/90,0
7/1/90,0
8/1/90,0
9/1/90,0
10/1/90,0
11/1/90,0
12/1/90,0
1/1/91,0
2/1/91,0
3/1/91,0
4/1/91,0
5/1/91,0
6/1/91,0
7/1/91,0
8/1/91,0
9/1/91,0
10/1/91,0
11/1/91,0
12/1/91,0
1/1/92,0
2/1/92,0
3/1/92,0
4/1/92,0
5/1/92,0
6/1/92,0
7/1/92,0
8/1/92,0
9/1/92,0
10/1/92,0
11/1/92,0
12/1/92,0
1/1/93,0
2/1/93,0
3/1/93,0
4/1/93,0
5/1/93,0
6/1/93,0
7/1/93,0
8/1/93,0
9/1/93,0
10/1/93,0
11/1/93,0
12/1/93,0
1/1/94,0
2/1/94,0
3/1/94,0
4/1/94,0
5/1/94,0
6/1/94,0
7/1/94,0
8/1/94,0
9/1/94,0
10/1/94,0
11/1/94,0
12/1/94,0
1/1/95,0
2/1/95,0
3/1/95,0
4/1/95,0
5/1/95,0
6/1/95,0
7/1/95,0
8/1/95,0
9/1/95,0
10/1/95,0
11/1/95,0
12/1/95,0
1/1/96,0
2/1/96,0
3/1/96,0
4/1/96,0
5/1/96,0
6/1/96,0
7/1/96,0
8/1/96,0
9/1/96,0
10/1/96,0
11/1/96,0
12/1/96,0
1/1/97,0
2/1/97,0
3/1/97,0
4/1/97,0
5/1/97,0
6/1/97,0
7/1/97,0
8/1/97,0
9/1/97,0
10/1/97,0
11/1/97,0
12/1/97,0
1/1/98,0
2/1/98,0
3/1/98,0
4/1/98,0
5/1/98,0
6/1/98,0
7/1/98,0
8/1/98,0
9/1/98,0
10/1/98,0
11/1/98,0
12/1/98,0
1/1/99,0
2/1/99,0
3/1/99,0
4/1/99,0
5/1/99,0
6/1/99,0
7/1/99,0
8/1/99,0
9/1/99,0
10/1/99,0
11/1/99,0
12/1/99,0
1/1/00,0
2/1/00,0
3/1/00,0
4/1/00,0
5/1/00,0
6/1/00,0
7/1/00,0
8/1/00,0
9/1/00,0
10/1/00,0
11/1/00,0
12/1/00,0
1/1/01,0
2/1/01,0
3/1/01,1
4/1/01,1
5/1/01,1
6/1/01,1
7/1/01,1
8/1/01,1
9/1/01,1
10/1/01,1
11/1/01,1
12/1/01,0
1/1/02,0
2/1/02,0
3/1/02,0
4/1/02,0
5/1/02,0
6/1/02,0
7/1/02,0
8/1/02,0
9/1/02,0
10/1/02,0
11/1/02,0
12/1/02,0
1/1/03,0
2/1/03,0
3/1/03,0
4/1/03,0
5/1/03,0
6/1/03,0
7/1/03,0
8/1/03,0
9/1/03,0
10/1/03,0
11/1/03,0
12/1/03,0
1/1/04,0
2/1/04,0
3/1/04,0
4/1/04,0
5/1/04,0
6/1/04,0
7/1/04,0
8/1/04,0
9/1/04,0
10/1/04,0
11/1/04,0
12/1/04,0
1/1/05,0
2/1/05,0
3/1/05,0
4/1/05,0
5/1/05,0
6/1/05,0
7/1/05,0
8/1/05,0
9/1/05,0
10/1/05,0
11/1/05,0
12/1/05,0
1/1/06,0
2/1/06,0
3/1/06,0
4/1/06,0
5/1/06,0
6/1/06,0
7/1/06,0
8/1/06,0
9/1/06,0
10/1/06,0
11/1/06,0
12/1/06,0
1/1/07,0
2/1/07,0
3/1/07,0
4/1/07,0
5/1/07,0
6/1/07,0
7/1/07,0
8/1/07,0
9/1/07,0
10/1/07,0
11/1/07,0
12/1/07,1
1/1/08,1
2/1/08,1
3/1/08,1
4/1/08,1
5/1/08,1
6/1/08,1
7/1/08,1
8/1/08,1
9/1/08,1
10/1/08,1
11/1/08,1
12/1/08,1
1/1/09,1
2/1/09,1
3/1/09,1
4/1/09,1
5/1/09,1
6/1/09,1
7/1/09,0
8/1/09,0
9/1/09,0
10/1/09,0
11/1/09,0
12/1/09,0
1/1/10,0
2/1/10,0
3/1/10,0
4/1/10,0
5/1/10,0
6/1/10,0
7/1/10,0
8/1/10,0
9/1/10,0
10/1/10,0
11/1/10,0
12/1/10,0
1/1/11,0
2/1/11,0
3/1/11,0
4/1/11,0
5/1/11,0
6/1/11,0
7/1/11,0
8/1/11,0
9/1/11,0
10/1/11,0
11/1/11,0
12/1/11,0
1/1/12,0
2/1/12,0
3/1/12,0
4/1/12,0
5/1/12,0
6/1/12,0
7/1/12,0
8/1/12,0
9/1/12,0
10/1/12,0
11/1/12,0
12/1/12,0
1/1/13,0
2/1/13,0
3/1/13,0
4/1/13,0
5/1/13,0
6/1/13,0
7/1/13,0
8/1/13,0
9/1/13,0
10/1/13,0
11/1/13,0
12/1/13,0
1/1/14,0
2/1/14,0
3/1/14,0
4/1/14,0
5/1/14,0
6/1/14,0
7/1/14,0
8/1/14,0
9/1/14,0
10/1/14,0
11/1/14,0
12/1/14,0
1/1/15,0
2/1/15,0
3/1/15,0
4/1/15,0
5/1/15,0
6/1/15,0
7/1/15,0
8/1/15,0
9/1/15,0
10/1/15,0
11/1/15,0
12/1/15,0
1/1/16,0
2/1/16,0
3/1/16,0
4/1/16,0
5/1/16,0
6/1/16,0
7/1/16,0
8/1/16,0
9/1/16,0
10/1/16,0
11/1/16,0
12/1/16,0
1/1/17,0
2/1/17,0
3/1/17,0
4/1/17,0
5/1/17,0
6/1/17,0
7/1/17,0
8/1/17,0
9/1/17,0
10/1/17,0
11/1/17,0
12/1/17,0
1/1/18,0
