date, value
1/1/90,92.847
2/1/90,92.967
3/1/90,94.102
4/1/90,94.007
5/1/90,93.01
6/1/90,93.307
7/1/90,91.657
8/1/90,90.248
9/1/90,89.349
10/1/90,87.59
11/1/90,87.358
12/1/90,88.232
1/1/91,87.979
2/1/91,86.881
3/1/91,89.778
4/1/91,90.746
5/1/91,91.074
6/1/91,92.212
7/1/91,91.983
8/1/91,91.005
9/1/91,90
10/1/91,89.316
11/1/91,87.996
12/1/91,87.176
1/1/92,86.92
2/1/92,87.994
3/1/92,89.707
4/1/92,89.179
5/1/92,88.298
6/1/92,87.141
7/1/92,85.902
8/1/92,85.408
9/1/92,85.656
10/1/92,87.32
11/1/92,89.917
12/1/92,89.983
1/1/93,90.628
2/1/93,90.712
3/1/93,90.071
4/1/93,88.28
5/1/93,88.15
6/1/93,88.394
7/1/93,89.069
8/1/93,88.662
9/1/93,88.096
10/1/93,88.767
11/1/93,89.398
12/1/93,89.314
1/1/94,91.365
2/1/94,90.817
3/1/94,90.818
4/1/94,90.681
5/1/94,89.919
6/1/94,89.607
7/1/94,88.291
8/1/94,88.032
9/1/94,87.025
10/1/94,86.31
11/1/94,86.493
12/1/94,88.125
1/1/95,89.583
2/1/95,88.908
3/1/95,87.782
4/1/95,84.756
5/1/95,84.3
6/1/95,84.234
7/1/95,84.049
8/1/95,85.928
9/1/95,86.802
10/1/95,86.684
11/1/95,87.443
12/1/95,87.673
1/1/96,88.278
2/1/96,88.187
3/1/96,88.251
4/1/96,88.27
5/1/96,88.509
6/1/96,88.787
7/1/96,88.699
8/1/96,88.099
9/1/96,88.508
10/1/96,88.977
11/1/96,88.537
12/1/96,89.086
1/1/97,89.846
2/1/97,91.393
3/1/97,92.309
4/1/97,92.665
5/1/97,91.575
6/1/97,91.135
7/1/97,92.16
8/1/97,93.711
9/1/97,93.953
10/1/97,94.614
11/1/97,95.997
12/1/97,99.362
1/1/98,102.108
2/1/98,100.39
3/1/98,100.06
4/1/98,99.785
5/1/98,100.562
6/1/98,102.727
7/1/98,103.031
8/1/98,104.641
9/1/98,102.837
10/1/98,99.946
11/1/98,99.608
12/1/98,98.711
1/1/99,98.789
2/1/99,100.005
3/1/99,101.097
4/1/99,100.999
5/1/99,100.719
6/1/99,101.152
7/1/99,101.424
8/1/99,100.426
9/1/99,100.005
10/1/99,99.539
11/1/99,99.835
12/1/99,99.933
1/1/00,99.871
2/1/00,101.233
3/1/00,101.711
4/1/00,102.282
5/1/00,104.516
6/1/00,103.619
7/1/00,103.893
8/1/00,104.367
9/1/00,105.842
10/1/00,107.345
11/1/00,107.958
12/1/00,107.105
1/1/01,107.458
2/1/01,108.268
3/1/01,109.862
4/1/01,110.499
5/1/01,110.544
6/1/01,111.365
7/1/01,111.493
8/1/01,109.515
9/1/01,110.128
10/1/01,110.519
11/1/01,110.999
12/1/01,110.938
1/1/02,112.16
2/1/02,112.749
3/1/02,112.139
4/1/02,111.91
5/1/02,110.406
6/1/02,108.943
7/1/02,107.358
8/1/02,108.644
9/1/02,109.476
10/1/02,110.28
11/1/02,109.051
12/1/02,108.462
1/1/03,107.158
2/1/03,107.296
3/1/03,106.803
4/1/03,105.638
5/1/03,102.114
6/1/03,101.623
7/1/03,102.874
8/1/03,104.234
9/1/03,103.162
10/1/03,100.854
11/1/03,100.453
12/1/03,99.087
1/1/04,97.62
2/1/04,98.224
3/1/04,99.128
4/1/04,99.723
5/1/04,101.474
6/1/04,100.637
7/1/04,99.853
8/1/04,99.816
9/1/04,99.533
10/1/04,98.369
11/1/04,96.171
12/1/04,95.031
1/1/05,95.426
2/1/05,95.673
3/1/05,95.281
4/1/05,96.216
5/1/05,96.459
6/1/05,97.329
7/1/05,97.987
8/1/05,97.145
9/1/05,98.021
10/1/05,98.915
11/1/05,99.05
12/1/05,98.251
1/1/06,97.106
2/1/06,97.299
3/1/06,97.499
4/1/06,97.009
5/1/06,95.084
6/1/06,96.332
7/1/06,96.493
8/1/06,96.048
9/1/06,95.729
10/1/06,95.466
11/1/06,94.482
12/1/06,93.879
1/1/07,94.812
2/1/07,94.644
3/1/07,94.397
4/1/07,93.275
5/1/07,92.615
6/1/07,92.351
7/1/07,90.981
8/1/07,91.185
9/1/07,90.101
10/1/07,88.173
11/1/07,87.131
12/1/07,87.763
1/1/08,87.097
2/1/08,86.041
3/1/08,84.37
4/1/08,83.94
5/1/08,84.298
6/1/08,84.789
7/1/08,84.402
8/1/08,86.469
9/1/08,88.578
10/1/08,93.654
11/1/08,94.487
12/1/08,92.996
1/1/09,93.777
2/1/09,96.397
3/1/09,96.6
4/1/09,94.214
5/1/09,91.481
6/1/09,90.863
7/1/09,90.458
8/1/09,89.397
9/1/09,88.763
10/1/09,87.625
11/1/09,87.185
12/1/09,87.412
1/1/10,87.434
2/1/10,88.426
3/1/10,87.547
4/1/10,86.937
5/1/10,89.125
6/1/10,89.475
7/1/10,88.018
8/1/10,87.248
9/1/10,86.305
10/1/10,83.955
11/1/10,84
12/1/10,84.633
1/1/11,83.607
2/1/11,83.013
3/1/11,82.327
4/1/11,81.045
5/1/11,81.068
6/1/11,80.86
7/1/11,80.295
8/1/11,80.838
9/1/11,83.225
10/1/11,83.8
11/1/11,84.323
12/1/11,85.007
1/1/12,84.346
2/1/12,83.087
3/1/12,83.454
4/1/12,83.651
5/1/12,84.876
6/1/12,85.973
7/1/12,85.46
8/1/12,84.906
9/1/12,83.763
10/1/12,83.572
11/1/12,83.864
12/1/12,83.158
1/1/13,83.036
2/1/13,83.924
3/1/13,84.315
4/1/13,83.714
5/1/13,84.019
6/1/13,84.614
7/1/13,85.094
8/1/13,84.992
9/1/13,84.675
10/1/13,83.714
11/1/13,84.385
12/1/13,84.555
1/1/14,85.376
2/1/14,85.548
3/1/14,85.42
4/1/14,85.018
5/1/14,84.666
6/1/14,84.692
7/1/14,84.512
8/1/14,85.102
9/1/14,86.319
10/1/14,87.302
11/1/14,88.577
12/1/14,90.308
1/1/15,91.909
2/1/15,93.062
3/1/15,94.677
4/1/15,93.718
5/1/15,93.041
6/1/15,93.743
7/1/15,95.376
8/1/15,96.957
9/1/15,97.565
10/1/15,96.654
11/1/15,98.131
12/1/15,98.866
1/1/16,101.164
2/1/16,99.836
3/1/16,97.744
4/1/16,96.393
5/1/16,97.41
6/1/16,97.732
7/1/16,98.3
8/1/16,97.504
9/1/16,98.333
10/1/16,99.267
11/1/16,101.642
12/1/16,103.261
1/1/17,103.235
2/1/17,101.881
3/1/17,101.041
4/1/17,100.165
5/1/17,99.499
6/1/17,98.075
7/1/17,96.672
8/1/17,95.666
9/1/17,95.161
10/1/17,96.741
11/1/17,96.958
12/1/17,96.596
1/1/18,94.349
